pidp,wave,sex,age,partner,degree,inc4,owner,gor_dv
68004087,Wave 5,male,63,No partner,Degree,2,Owner,North East
68006139,Wave 5,female,18,No partner,No degree,Lowest 25%,Not owner,North East
68006135,Wave 5,female,21,No partner,Degree,2,Not owner,North East
68006127,Wave 5,female,43,Partner,No degree,2,Not owner,North East
68006807,Wave 5,female,76,No partner,No degree,Highest 25%,Owner,North East
68008847,Wave 5,female,55,No partner,No degree,3,Owner,North East
68061288,Wave 5,female,27,No partner,Degree,3,Owner,North East
68009527,Wave 5,male,35,No partner,Degree,Highest 25%,Owner,North East
68068082,Wave 5,male,52,No partner,No degree,3,Owner,North East
68010887,Wave 5,female,49,No partner,Degree,Lowest 25%,Owner,North East
68011567,Wave 5,male,39,No partner,Degree,Highest 25%,Owner,North East
68014287,Wave 5,female,43,No partner,No degree,3,Not owner,North East
68019047,Wave 5,male,30,Partner,Degree,Highest 25%,Not owner,North East
68019051,Wave 5,female,30,Partner,Degree,3,Not owner,North East
68020407,Wave 5,female,76,No partner,No degree,2,Owner,North East
68025847,Wave 5,female,77,No partner,No degree,3,Not owner,North East
68028579,Wave 5,female,20,No partner,No degree,Lowest 25%,Not owner,North East
68157166,Wave 5,male,28,Partner,Degree,Highest 25%,Owner,North East
68028575,Wave 5,female,22,Partner,Degree,Lowest 25%,Owner,North East
68029935,Wave 5,female,16,No partner,No degree,Lowest 25%,Not owner,North East
68149808,Wave 5,female,26,No partner,No degree,Lowest 25%,Owner,North East
68029927,Wave 5,female,40,Partner,No degree,Lowest 25%,Owner,North East
68029931,Wave 5,male,44,Partner,No degree,Highest 25%,Owner,North East
68031967,Wave 5,female,65,No partner,No degree,2,Not owner,West Midlands
68176882,Wave 5,female,25,No partner,Degree,2,Owner,North East
68032647,Wave 5,male,28,No partner,No degree,Highest 25%,Owner,North East
68035367,Wave 5,male,32,No partner,Degree,Highest 25%,Owner,North East
68036727,Wave 5,male,81,No partner,No degree,2,Not owner,North East
68037407,Wave 5,female,44,No partner,No degree,3,Not owner,North East
68040127,Wave 5,female,84,No partner,No degree,3,Owner,North East
68041491,Wave 5,male,39,Partner,No degree,Highest 25%,Owner,North East
68041487,Wave 5,female,43,Partner,Degree,Highest 25%,Owner,North East
68042167,Wave 5,male,43,Partner,Degree,Highest 25%,Owner,North East
68042171,Wave 5,female,42,Partner,Degree,Highest 25%,Owner,North East
68043527,Wave 5,male,59,No partner,No degree,Highest 25%,Owner,North East
68044207,Wave 5,female,37,Partner,Degree,2,Owner,North East
68044211,Wave 5,male,40,Partner,Degree,Highest 25%,Owner,North East
68044887,Wave 5,female,66,No partner,No degree,3,Not owner,North East
68045575,Wave 5,male,16,No partner,No degree,Lowest 25%,Not owner,North East
68045571,Wave 5,male,53,Partner,Degree,Highest 25%,Owner,North East
68045567,Wave 5,female,51,Partner,Degree,3,Owner,North East
68046247,Wave 5,male,70,Partner,No degree,3,Owner,North East
68046251,Wave 5,female,67,Partner,No degree,Lowest 25%,Owner,North East
68046927,Wave 5,female,40,Partner,No degree,2,Owner,North East
68046931,Wave 5,male,42,Partner,Degree,Highest 25%,Owner,North East
68048287,Wave 5,male,66,No partner,No degree,3,Owner,North East
68049651,Wave 5,female,53,Partner,No degree,3,Owner,North East
68049647,Wave 5,male,55,Partner,Degree,Highest 25%,Owner,North East
68049659,Wave 5,female,24,No partner,No degree,3,Not owner,North East
68051007,Wave 5,male,52,Partner,Degree,Highest 25%,Owner,North East
68051011,Wave 5,female,45,Partner,Degree,Highest 25%,Owner,North East
68056455,Wave 5,female,18,No partner,No degree,Lowest 25%,Not owner,North East
68056451,Wave 5,female,48,Partner,No degree,Lowest 25%,Not owner,North East
68056447,Wave 5,male,50,Partner,No degree,3,Not owner,North East
68058487,Wave 5,male,73,Partner,Degree,3,Owner,North East
68058491,Wave 5,female,64,Partner,No degree,2,Owner,North East
68059171,Wave 5,female,23,No partner,Degree,2,Not owner,North East
68293168,Wave 5,male,24,No partner,No degree,Lowest 25%,Not owner,North East
68060531,Wave 5,female,40,Partner,Degree,3,Owner,North East
68060527,Wave 5,male,39,Partner,Degree,Highest 25%,Owner,North East
68061887,Wave 5,male,89,No partner,No degree,3,Not owner,North West
68063251,Wave 5,male,48,Partner,No degree,2,Owner,North West
68063247,Wave 5,female,46,Partner,No degree,2,Owner,North West
68063931,Wave 5,male,45,Partner,Degree,Highest 25%,Owner,North West
68063927,Wave 5,female,43,Partner,No degree,2,Owner,North West
68065287,Wave 5,female,45,Partner,No degree,3,Owner,North West
68065967,Wave 5,male,64,Partner,No degree,Lowest 25%,Not owner,North West
68065971,Wave 5,female,53,Partner,No degree,3,Not owner,North West
68066647,Wave 5,female,26,No partner,No degree,2,Not owner,North West
68066651,Wave 5,male,27,No partner,No degree,3,Not owner,North West
68068015,Wave 5,female,21,No partner,No degree,2,Not owner,North West
